34326_1_1_1	34326_1_1_1
34503_1_1_1	34503_1_1_1
34743_1_1_1	34743_1_1_1
36345_1_1_1	36345_1_1_1
36345_1_1_1	25205_1_1_1
50900_1_1_1	50900_1_1_1
51396_1_1_1	51396_1_1_1
51396_1_1_1	51397_1_1_1
11472_1_1_1	11472_1_1_1
11472_1_1_1	11499_1_1_1
15206_1_1_1	15206_1_1_1
15206_1_1_1	15214_1_1_1
15560_1_1_1	15560_1_1_1
15560_1_1_1	17414_1_1_1
15782_1_1_1	15782_1_1_1
15782_1_1_1	34167_1_1_1
15782_1_1_1	7087_1_1_1
15782_1_1_1	6725_1_1_1
16063_1_1_1	16063_1_1_1
16398_1_1_1	16398_1_1_1
16721_1_1_1	16721_1_1_1
16971_1_1_1	16971_1_1_1
17271_1_1_1	17271_1_1_1
17501_1_1_1	17501_1_1_1
18253_1_1_1	18253_1_1_1
18253_1_1_1	17656_1_1_1
18519_1_1_1	18519_1_1_1
18888_1_1_1	18888_1_1_1
19162_1_1_1	19162_1_1_1
19453_1_1_1	19453_1_1_1
25024_1_1_1	25024_1_1_1
25185_1_1_1	25185_1_1_1
25185_1_1_1	25184_1_1_1
25743_1_1_1	25743_1_1_1
26721_1_1_1	26721_1_1_1
27290_1_1_1	27290_1_1_1
27628_1_1_1	27628_1_1_1
28095_1_1_1	28095_1_1_1
28095_1_1_1	28096_1_1_1
28095_1_1_1	28097_1_1_1
28095_1_1_1	17851_1_1_1
28095_1_1_1	17852_1_1_1
28095_1_1_1	27175_1_1_1
28095_1_1_1	27920_1_1_1
28095_1_1_1	27697_1_1_1
28095_1_1_1	7235_1_1_1
28095_1_1_1	7234_1_1_1
28095_1_1_1	16409_1_1_1
28095_1_1_1	27174_1_1_1
28095_1_1_1	15467_1_1_1
34188_1_1_1	34188_1_1_1
34188_1_1_1	34187_1_1_1
34188_1_1_1	34189_1_1_1
34329_1_1_1	34329_1_1_1
34504_1_1_1	34504_1_1_1
34744_1_1_1	34744_1_1_1
36404_1_1_1	36404_1_1_1
50393_1_1_1	50393_1_1_1
50393_1_1_1	26657_1_1_1
50393_1_1_1	50971_1_1_1
50393_1_1_1	50970_1_1_1
50901_1_1_1	50901_1_1_1
50901_1_1_1	25354_1_1_1
50901_1_1_1	16843_1_1_1
15207_1_1_1	15207_1_1_1
15578_1_1_1	15578_1_1_1
15790_1_1_1	15790_1_1_1
16068_1_1_1	16068_1_1_1
16401_1_1_1	16401_1_1_1
16731_1_1_1	16731_1_1_1
16977_1_1_1	16977_1_1_1
17271_1_2_2	17271_1_2_2
17772_1_1_1	17772_1_1_1
17772_1_1_1	17466_1_1_1
18007_1_1_1	18007_1_1_1
18007_1_1_1	18005_1_1_1
18257_1_1_1	18257_1_1_1
18257_1_1_1	18257_2_1_1
18521_1_1_1	18521_1_1_1
18521_1_1_1	25767_1_1_1
19717_1_1_1	19717_1_1_1
19717_1_1_1	19703_1_1_1
19717_1_1_1	19718_1_1_1
25026_1_1_1	25026_1_1_1
25210_1_1_1	25210_1_1_1
